TIME,AIRLINE,FLIGHT_NUMBER,TRANSACTION,TERMINAL,GATE,REMARK,data_as_of,data_loaded_at
2025/07/19 11:17:00 AM,United,UA1517,DEP,2,D10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 12:03:00 PM,United,UA5572,ARR,3,F5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 07:14:00 AM,Alaska,AS1043,DEP,1,B7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 09:22:00 PM,United,UA2047,DEP,3,E12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 08:34:00 PM,American,AA1430,ARR,1,B20,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 09:29:00 PM,United,UA1369,ARR,2,D14,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 09:03:00 AM,United,UA1259,ARR,3,F21,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 10:59:00 PM,JetBlue,B6277,ARR,1,B3,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 01:32:00 PM,DELTA,DL381,DEP,1,C10,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 11:47:00 AM,United,UA1791,ARR,2,D10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 04:15:00 PM,Scandinavian,SK935,ARR,I,A8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 10:07:00 PM,Alaska,AS2042,DEP,1,B8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 05:48:00 PM,United,UA1509,DEP,3,F15,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 08:25:00 PM,Cathay Pacific,CX892,ARR,I,A8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 06:47:00 PM,United,UA298,DEP,3,F12,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 12:24:00 PM,American,AA2423,ARR,1,B23,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 07:24:00 PM,Alaska,AS3460,DEP,1,C1,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 07:44:00 PM,United,UA1007,ARR,3,F13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 08:02:00 AM,United,UA114,ARR,I,G4,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 10:04:00 AM,United,UA608,DEP,3,F16,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 03:55:00 PM,United,UA208,ARR,2,D10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 06:20:00 AM,United,UA2367,ARR,3,E9,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 12:32:00 AM,Sun Country,SY398,DEP,1,B19,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 05:09:00 PM,United,UA1970,DEP,3,E5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/19 08:47:00 AM,United,UA5560,DEP,3,F5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 04:20:00 PM,United,UA948,DEP,I,G5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 12:33:00 PM,United,UA2041,ARR,3,E8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 09:21:00 AM,Sun Country,SY392,DEP,1,B19,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 09:52:00 AM,United,UA717,DEP,3,E4,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 11:23:00 AM,United,UA1998,ARR,2,D15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 08:51:00 PM,United,UA1722,ARR,3,F15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 09:25:00 AM,United,UA521,ARR,2,D14,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 12:09:00 PM,Alaska,AS3479,DEP,1,B13,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 04:01:00 PM,DELTA,DL2267,ARR,1,C6,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 07:46:00 PM,United,UA1159,ARR,I,G12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 02:14:00 PM,Alaska,AS3386,DEP,1,C1,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 07:07:00 PM,United,UA5336,ARR,3,F10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 07:54:00 PM,United,UA1660,ARR,3,F15,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 08:27:00 PM,Southwest,WN1794,DEP,2,D6,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/23 08:36:00 AM,United,UA1095,ARR,3,F12,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 08:17:00 PM,Alaska,AS3416,DEP,1,B18,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 12:38:00 PM,DELTA,DL902,ARR,1,C5,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 06:36:00 PM,United,UA5271,ARR,3,F10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/20 09:57:00 AM,Frontier,F91645,ARR,I,B2,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 01:03:00 AM,STARLUX Airlines,JX11,DEP,I,B5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
